Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Gio Serrano,gioserrano,São Paulo,1200,6,5,1,0,61274,2112,87,77588,R$0.02,0.14%,R$13.79,R$0.02,3.45%,0.00%,0,0,
Thailyse Pivatto,thaylisepivato,São Paulo,1200,7,6,1,0,45320,2024,359,63498,R$0.03,0.79%,R$3.34,R$0.03,4.47%,0.00%,0,0,
João Almeida,joaoalmeidac,São Paulo,1200,5,4,1,0,64942,1833,492,77966,R$0.02,0.76%,R$2.44,R$0.02,2.82%,0.00%,0,0,
Giovanna Ferrarezi,giovannaferrarezi,São Paulo,1200,5,4,1,0,91607,6387,1464,110665,R$0.01,1.60%,R$0.82,R$0.01,6.97%,0.00%,0,0,
Maju Mazalli,majumazalli,São Paulo,1200,4,3,1,0,91864,2142,629,96508,R$0.01,0.68%,R$1.91,R$0.01,2.33%,0.00%,0,0,
Carol marafiga,caro.marafiga,São Paulo,1200,1,0,1,0,42367,2766,0,71029,R$0.03,0.00%,R$0.00,R$0.03,6.53%,0.00%,0,0,
Gabi Melim,gabimelim,São Paulo,1200,3,2,1,0,124043,15091,324,129351,R$0.01,0.26%,R$3.70,R$0.01,12.17%,0.00%,0,0,
Renan Keller,renankeller,São Paulo,1200,5,3,1,1,377555,40143,91,373710,R$0.00,0.02%,R$13.19,R$0.00,10.63%,0.00%,0,0,
Lucas Chinarelli,eraumavezpapai,São Paulo,4036.5,1,0,1,0,91112,10462,0,14162,R$0.04,0.00%,R$0.00,R$0.04,11.48%,0.00%,0,0,
Tadeu França,otadeufranca,São Paulo,16146,1,0,1,0,213149,7016,0,246649,R$0.07,0.00%,R$0.00,R$0.08,3.29%,0.00%,0,0,
Sérgio Carolino,sergiocarolino,São Paulo,10091.25,1,0,1,0,37041,6210,0,60021,R$0.23,0.00%,R$0.00,R$0.27,16.77%,0.00%,0,0,
Gabriel Frazão,frazaocozinha,São Paulo,4709.25,1,0,1,0,90238,4298,0,95347,R$0.05,0.00%,R$0.00,R$0.05,4.76%,0.00%,0,0,
Felipe Andreolli,andreollifelipe,São Paulo,51129,1,0,1,0,20724,756,0,27281,R$2.38,0.00%,R$0.00,R$2.47,3.65%,0.00%,0,0,
Augusto Figueiredo,augustodochef,São Paulo,3363.75,1,0,1,0,157632,1983,0,188014,R$0.02,0.00%,R$0.00,R$0.02,1.26%,0.00%,0,0,
